890,71.15
1730,66.09
2556,52.70
3391,45.61
4217,41.45
5043,38.97
5869,37.51
6695,36.61
7522,35.94
8347,35.71
9174,35.38
10000,35.38
10825,35.15
11652,35.15
12478,35.15
13304,35.15
14131,34.93
14957,35.04
15783,34.93
16611,35.04
17437,35.04
18264,35.15
19090,35.26
19916,35.26
20743,35.15
21569,35.38
22395,35.49
23222,35.26
24048,35.38
24875,35.38
25701,35.49
26527,35.49
27354,35.49
28180,35.60
29006,35.71
29833,35.71
30659,35.83
31485,35.83
32312,35.94
33138,35.83
33965,35.94
34795,35.94
35621,36.05
36448,36.16
37274,36.16
38100,36.28
38927,36.50
39753,36.39
40580,36.61
41406,36.72
42232,36.61
43059,36.72
43885,36.95
44711,36.95
45538,37.18
46364,37.40
47191,37.63
48017,37.74
48843,37.85
49670,38.08
50496,38.19
51322,38.41
52149,38.75
52974,38.97
53800,39.31
54627,39.65
55453,40.10
56289,40.44
57115,40.66
57942,41.00
58768,41.34
59593,41.90
60420,42.01
61246,42.35
62072,42.69
62898,43.03
63724,43.25
64550,43.47
65377,43.81
666,44.04
1497,44.26
2323,44.49
3149,44.83
3976,45.16
4801,45.39
5627,45.84
6454,46.06
7280,46.40
8107,46.74
8933,47.19
9759,47.41
10586,47.75
11412,47.97
12238,48.31
13065,48.65
13891,48.88
14717,49.10
15544,49.44
16370,49.66
17197,49.89
18023,50.22
18849,50.45
19676,50.90
20502,51.13
21328,51.24
22154,51.80
22980,51.91
23806,52.25
24633,52.59
25459,52.93
26286,53.26
27112,53.49
27938,54.05
28765,54.28
29591,54.50
30417,54.84
31244,55.18
32070,55.51
32897,55.74
33723,56.19
34549,56.53
35381,56.75
36207,57.09
37033,57.31
37860,57.65
38686,57.88
39513,58.21
40338,58.44
41164,58.78
41991,59.11
42862,59.34
43688,59.56
44515,59.79
45341,60.01
46167,60.35
46993,60.46
47819,60.80
